3.307782,0.044189,3.329877
2.594669,0.025282,2.607310
1.649341,0.052266,1.675474
1.413791,0.053417,1.440500
1.322011,0.052623,1.348323
1.053470,0.061643,1.084291
0.922305,0.036087,0.940348
0.864925,0.007643,0.868747
0.842322,0.040205,0.862424
0.740969,0.022868,0.752403
0.743021,0.021418,0.753730
0.644546,0.024418,0.656755
0.679221,0.030091,0.694266
0.622541,0.025466,0.635274
0.560165,0.045134,0.582731
0.570899,0.011433,0.576616
0.536488,0.030863,0.551919
0.528829,0.038267,0.547962
0.419349,0.054400,0.446549
0.401043,0.046628,0.424357
0.419683,0.009840,0.424603
0.405992,0.011483,0.411733
0.396544,0.037690,0.415388
0.349142,0.026911,0.362597
0.362326,0.032351,0.378502
0.309844,0.011069,0.315379
0.299541,0.021757,0.310420
0.269165,0.042134,0.290232
0.246890,0.020261,0.257021
0.274220,0.016806,0.282624
0.234943,0.011293,0.240589
0.268120,0.011693,0.273966
0.189282,0.020115,0.199340
0.217039,0.028107,0.231093
0.211437,0.027720,0.225297
0.201607,0.008025,0.205619
0.178735,0.024041,0.190756
0.144082,0.056040,0.172102
0.194649,0.015952,0.202625
0.182680,0.002475,0.183917
0.178005,0.026139,0.191074
0.149787,0.040674,0.170124
0.111159,0.008578,0.115449
0.150079,0.015508,0.157833
0.133419,0.004848,0.135843
0.123404,0.018164,0.132486
0.176835,0.038513,0.196092
0.151191,0.018893,0.160638
0.120606,0.018548,0.129880
0.150356,0.020473,0.160592
0.135275,0.006749,0.138650
0.129961,0.029265,0.144593
0.128580,0.043817,0.150489
0.138112,0.038273,0.157248
